,Date,btc_close,link_close,zrx_close,yfi_close,uni_close,omg_close,eth_close,xrp_close,cake_close,comp_close,fil_close,vet_close,trx_close,doge_close,ada_close,zil_close,celo_close,crv_close,dot_close,algo_close,grt_close,rune_close,rvn_close,ftm_close
80,2020-03-22,5816.19,1.9898,0.1405,,,0.477,122.32,0.14776,,,,0.00261,0.0103,0.0017264,0.02703,0.00359,,,,0.1455,,,0.01329,0.00251
81,2020-03-23,6467.31,2.2468,0.1515,,,0.5057,135.92,0.15854,,,,0.002859,0.01137,0.0018192,0.02925,0.00388,,,,0.1595,,,0.01474,0.00278
82,2020-03-24,6744.72,2.3104,0.1516,,,0.531,138.42,0.16225,,,,0.00306,0.01151,0.0018641,0.03023,0.00393,,,,0.1598,,,0.01515,0.00283
83,2020-03-25,6677.43,2.257,0.1572,,,0.5096,136.1,0.16168,,,,0.003056,0.01139,0.0018296,0.02945,0.00388,,,,0.1536,,,0.01513,0.00311
84,2020-03-26,6737.36,2.3132,0.1594,,,0.5208,138.4,0.17593,,,,0.003079,0.01196,0.0018519,0.03086,0.00394,,,,0.159,,,0.01572,0.00314
85,2020-03-27,6359.11,2.1373,0.1496,,,0.5032,131.33,0.17269,,,,0.002998,0.01121,0.0017766,0.02882,0.0037,,,,0.1538,,,0.01442,0.003
86,2020-03-28,6236.65,2.1364,0.1496,,,0.5051,130.98,0.17543,,,,0.002969,0.01139,0.001783,0.02975,0.00378,,,,0.1499,,,0.01431,0.00298
87,2020-03-29,5881.42,2.0083,0.1441,,,0.4682,124.5,0.16278,,,,0.002721,0.01066,0.0017099,0.02806,0.00353,,,,0.1441,,,0.01359,0.00273
88,2020-03-30,6394.38,2.135,0.1504,,,0.5082,132.06,0.17112,,,,0.002933,0.01145,0.0017957,0.02965,0.00379,,,,0.1547,,,0.01462,0.00297
89,2020-03-31,6410.44,2.2658,0.1529,,,0.516,132.72,0.17353,,,,0.003108,0.01157,0.0018041,0.03045,0.00382,,,,0.154,,,0.01516,0.00306
90,2020-04-01,6642.92,2.2753,0.1518,,,0.5337,135.69,0.17494,,,,0.003153,0.01158,0.0018631,0.03097,0.00387,,,,0.154,,,0.01551,0.00309
91,2020-04-02,6794.09,2.2941,0.1543,,,0.5527,141.28,0.17828,,,,0.003228,0.01196,0.0018777,0.03188,0.00396,,,,0.158,,,0.01562,0.00312
92,2020-04-03,6734.1,2.3013,0.1554,,,0.5439,141.31,0.17957,,,,0.00326,0.01194,0.0018467,0.03231,0.00395,,,,0.1586,,,0.01538,0.00317
93,2020-04-04,6856.99,2.3155,0.1563,,,0.5513,144.1,0.18114,,,,0.003245,0.01197,0.0018697,0.03244,0.00408,,,,0.1772,,,0.01557,0.00324
